UF;MUNICIPIO;TIPO DE VEÍCULO;QUANTIDADE
AC;MANOEL URBANO;TRATOR RODAS;0
AC;MANOEL URBANO;TRICICLO;0
AC;MANOEL URBANO;UTILITARIO;2
AC;MARECHAL THAUMATURGO;AUTOMOVEL;10
AC;MARECHAL THAUMATURGO;BONDE;0
AC;MARECHAL THAUMATURGO;CAMINHAO;13
AC;MARECHAL THAUMATURGO;CAMINHAO TRATOR;0
AC;MARECHAL THAUMATURGO;CAMINHONETE;36
AC;MARECHAL THAUMATURGO;CAMIONETA;0
AC;MARECHAL THAUMATURGO;CHASSI PLATAF;0
AC;MARECHAL THAUMATURGO;CICLOMOTOR;0
AC;MARECHAL THAUMATURGO;MICRO-ONIBUS;0
AC;MARECHAL THAUMATURGO;MOTOCICLETA;265
AC;MARECHAL THAUMATURGO;MOTONETA;38
AC;MARECHAL THAUMATURGO;ONIBUS;9
AC;MARECHAL THAUMATURGO;QUADRICICLO;0
AC;MARECHAL THAUMATURGO;REBOQUE;0
AC;MARECHAL THAUMATURGO;SEMI-REBOQUE;0
AC;MARECHAL THAUMATURGO;SIDE-CAR;0
AC;MARECHAL THAUMATURGO;OUTROS;0
AC;MARECHAL THAUMATURGO;TRATOR ESTEI;0
AC;MARECHAL THAUMATURGO;TRATOR RODAS;0
AC;MARECHAL THAUMATURGO;TRICICLO;0
AC;MARECHAL THAUMATURGO;UTILITARIO;0
AC;PLACIDO DE CASTRO;AUTOMOVEL;1355
AC;PLACIDO DE CASTRO;BONDE;0
AC;PLACIDO DE CASTRO;CAMINHAO;153
AC;PLACIDO DE CASTRO;CAMINHAO TRATOR;16
AC;PLACIDO DE CASTRO;CAMINHONETE;550
AC;PLACIDO DE CASTRO;CAMIONETA;46
AC;PLACIDO DE CASTRO;CHASSI PLATAF;0
AC;PLACIDO DE CASTRO;CICLOMOTOR;7
AC;PLACIDO DE CASTRO;MICRO-ONIBUS;5
AC;PLACIDO DE CASTRO;MOTOCICLETA;2305
AC;PLACIDO DE CASTRO;MOTONETA;402
AC;PLACIDO DE CASTRO;ONIBUS;29
AC;PLACIDO DE CASTRO;QUADRICICLO;0
AC;PLACIDO DE CASTRO;REBOQUE;69
AC;PLACIDO DE CASTRO;SEMI-REBOQUE;16
AC;PLACIDO DE CASTRO;SIDE-CAR;3
AC;PLACIDO DE CASTRO;OUTROS;0
AC;PLACIDO DE CASTRO;TRATOR ESTEI;0
AC;PLACIDO DE CASTRO;TRATOR RODAS;0
AC;PLACIDO DE CASTRO;TRICICLO;6
AC;PLACIDO DE CASTRO;UTILITARIO;7
AC;PORTO ACRE;AUTOMOVEL;850
AC;PORTO ACRE;BONDE;0
AC;PORTO ACRE;CAMINHAO;173
AC;PORTO ACRE;CAMINHAO TRATOR;6
AC;PORTO ACRE;CAMINHONETE;429
AC;PORTO ACRE;CAMIONETA;42
AC;PORTO ACRE;CHASSI PLATAF;0
AC;PORTO ACRE;CICLOMOTOR;6
AC;PORTO ACRE;MICRO-ONIBUS;3
AC;PORTO ACRE;MOTOCICLETA;2125
AC;PORTO ACRE;MOTONETA;158
